pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
Cahit Günbattı'ya Armağan 2015.pdf,224,4605,True,True,False,2025-10-09T19:05:45.419788
"Veenhof, Klaas R. - The Relation between Royal Decrees and Law Codes of the Old Babylonian Period. JEOL 35-36, 1997-00 49-83.pdf",34,32,True,True,False,2025-10-09T19:05:45.996461
AfO Register  (1978-2004) (1).pdf,248,5539,True,False,False,2025-10-09T19:05:51.535939
KAH 2.pdf,32,2770,True,False,False,2025-10-09T19:05:54.357005
"Walker, C. & M. Dick - The Induction of the Cult Image in Ancient Mesopotamia. The Mesopotamian Mis Pi Ritual. SAALT 1, 2001.pdf",116,211,True,False,False,2025-10-09T19:05:54.592855
"AnSt 28, 1978.pdf",48,2725,True,False,False,2025-10-09T19:05:57.319153
CAD (N-Z).pdf,3036,1206,True,False,False,2025-10-09T19:05:58.550632
"Anatolica 34, 2008.pdf",86,79,True,False,False,2025-10-09T19:05:59.244974
NABU 1987.1 - 4014.4.pdf,1649,282,True,True,False,2025-10-09T19:06:05.317366
Miller_1995_CKLR79_Jlaw.pdf,9,824,True,False,False,2025-10-09T19:06:06.143290
afo_realien.pdf,2609,383,True,False,False,2025-10-09T19:06:07.054185
KBo 5-6.pdf,70,5395,True,False,False,2025-10-09T19:06:12.449601
afo_realien.pdf,2438,466,True,False,False,2025-10-09T19:06:12.917125
AKT 7a.pdf,282,196,True,True,False,2025-10-09T19:06:13.922381
CAD (N-Z).pdf,3118,686,True,False,False,2025-10-09T19:07:04.937689
"AnSt 51, 2001.pdf",33,30,True,False,False,2025-10-09T19:07:04.968865
CAD (N-Z).pdf,4679,595,True,True,False,2025-10-09T19:07:05.564472
Kt c-k (Dercksen).pdf,157,141,True,True,False,2025-10-09T19:07:07.571345
NABU 1987.1 - 4014.4.pdf,919,337,True,False,False,2025-10-09T19:07:07.909599
CAD (N-Z).pdf,2094,575,True,True,False,2025-10-09T19:07:09.103229
King Gates Shalmaneser.pdf,3,119,True,False,False,2025-10-09T19:07:10.217886
"Dercksen, J. G - Review of The Ancient Near East. Historical Sources in Translation. BiOr 64, 2007 320-325.pdf",2,574,True,False,False,2025-10-09T19:07:11.635054
"AnSt 14, 1964.pdf",65,31,True,False,False,2025-10-09T19:07:11.666978
